RC100

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    
 
0          40         50
1          25         85
2          22         75
3          22         85
4          20         80
5          20         85
6          18         75
7          15         75
8          15         80
9          10         35
10         10         40
11         8          40
12         8          45
13         5          35
14         5          45
15         2          40
16         0          40
17         0          45
18         44         5
19         42         10
20         42         15
21         40         5
22         40         15
23         38         5
24         38         15
25         35         5
26         95         30
27         95         35
28         92         30
29         90         35
30         88         30
31         88         35
32         87         30
33         85         25
34         85         35
35         67         85
36         65         85
37         65         82
38         62         80
39         60         80
40         60         85
41         58         75
42         55         80
43         55         85
44         55         82
45         20         82
46         18         80
47         2          45
48         42         5
49         42         12
50         72         35
